ID,Population_of_Origin,Sex,Exposed,Infection_load,LogZE,Infection_StatusStatus,Died,DOD,Days_Survived,Days_Survived,SVL_mm,Mass_g,Log_mass,SVL_start,Mass_start,Log_mass_start
19,Greymare,f,1,460153,5.662903202,Infected,1,1,10/15/2011,25,NA,3.26,0.5132176,31,3.38,0.5289167
111,Greymare,m,1,489031,5.689337278,Infected,1,1,11/18/2011,59,NA,2.88,0.459392488,30.9,3.49,0.542825427
216,Greymare,m,1,551506,5.741551029,Infected,1,1,11/19/2011,60,NA,3.46,0.539076099,31,3.57,0.552668216
34,Greymare,m,1,554556,5.743946192,Infected,1,1,10/20/2011,30,NA,3.08,0.488550717,30.5,3.16,0.499687083
154,Greymare,f,1,554706,5.744063646,Infected,1,1,10/21/2011,31,NA,5.2,0.716003344,35.7,4.84,0.684845362
154,Greymare,f,1,554706,5.744063646,Infected,1,1,10/21/2011,31,NA,5.2,0.716003344,35.7,4.84,0.684845362
226,Greymare,m,1,584615,5.766870697,Infected,1,1,10/12/2011,22,NA,3.67,0.564666064,31.2,3.39,0.530199698
278,Greymare,f,1,601299,5.779091204,Infected,1,1,10/11/2011,21,NA,4.42,0.645422269,32.7,5.26,0.720985744
287,Greymare,f,1,609344,5.784863252,Infected,1,1,10/23/2011,33,NA,4.97,0.696356389,39.2,6.17,0.790285164
225,Greymare,m,1,652888,5.814839352,Infected,1,1,10/13/2011,23,NA,3.41,0.532754379,32.7,3.64,0.561101384
345,Greymare,m,1,662230,5.821009507,Infected,1,1,10/17/2011,27,NA,3.98,0.599883072,30.7,4.18,0.621176282
54,Greymare,m,1,675129,5.829387407,Infected,1,1,10/16/2011,26,NA,3.45,0.537819095,30.1,3.68,0.565847819
344,Greymare,f,1,707072,5.849464254,Infected,1,1,10/22/2011,32,NA,4.41,0.644438589,32.6,4.29,0.632457292
62,Greymare,f,1,862609,5.935814488,Infected,1,1,10/21/2011,31,NA,2.7,0.431363764,31.8,2.79,0.445604203
326,Greymare,f,1,925457,5.966356714,Infected,1,1,10/14/2011,24,NA,5.75,0.759667845,34.9,5.33,0.726727209
88,Greymare,f,1,1049184,6.020852073,Infected,1,1,10/14/2011,24,NA,3.9,0.591064607,33.8,4.2,0.62324929
23,Greymare,m,1,1152590,6.061675224,Infected,1,1,10/15/2011,25,NA,4,0.602059991,29.4,3.74,0.572871602
222,Greymare,f,1,1161688,6.065089877,Infected,1,1,10/14/2011,24,NA,6.24,0.79518459,37.8,7.05,0.848189117
229,Greymare,f,1,1254565,6.098493514,Infected,1,1,10/18/2011,28,30.8,2.88,0.459392488,31.4,3.75,0.574031268
35,Greymare,f,1,1289907,6.110558736,Infected,1,1,10/17/2011,27,NA,3.89,0.589949601,35.5,5.27,0.721810615
305,Greymare,m,1,1311561,6.117788825,Infected,1,1,10/12/2011,22,NA,3.3,0.51851394,30,3.28,0.515873844
253,Greymare,f,1,1341904,6.127721771,Infected,1,1,10/13/2011,23,NA,4.04,0.606381365,31.2,5.02,0.700703717
157,Greymare,m,1,1366191,6.135511738,Infected,1,1,10/15/2011,25,NA,3.28,0.515873844,29.2,2.89,0.460897843
167,Greymare,m,1,1383766,6.141062969,Infected,1,1,10/20/2011,30,NA,2.35,0.371067862,27.5,2.5,0.397940009
64,Greymare,m,1,1439367,6.158171843,Infected,1,1,10/18/2011,28,NA,2.81,0.44870632,30.1,3.09,0.489958479
235,Greymare,m,1,1534157,6.185870089,Infected,1,1,10/17/2011,27,NA,3.06,0.485721426,31.5,2.9,0.462397998
351,Greymare,f,1,1662160,6.220673088,Infected,1,1,10/19/2011,29,NA,4.09,0.611723308,31.4,3.5,0.544068044
126,Greymare,f,1,1838958,6.264572047,Infected,1,1,10/12/2011,22,NA,4.18,0.621176282,34.8,4.59,0.661812686
53,Greymare,m,1,2162675,6.334991461,Infected,1,1,10/18/2011,28,NA,3.65,0.562292864,33.2,3.84,0.584331224
50,Greymare,m,1,2259450,6.354002927,Infected,1,1,10/12/2011,22,NA,4.67,0.669316881,34.1,4.63,0.665580991
138,Greymare,f,1,2488800,6.395990173,Infected,1,1,10/14/2011,24,NA,4.71,0.673020907,35.8,4.78,0.679427897
374,Greymare,m,1,2935774,6.467722768,Infected,1,1,10/13/2011,23,NA,2.63,0.419955748,31,2.91,0.463892989
146,Greymare,f,1,3070885,6.487263694,Infected,1,1,10/20/2011,30,NA,3.89,0.589949601,32.9,4.12,0.614897216
84,Greymare,f,1,3269819,6.514523846,Infected,1,1,10/13/2011,23,NA,3.71,0.56937391,30.2,3.55,0.550228353
49,Greymare,m,1,5550011,6.744293922,Infected,1,1,10/18/2011,28,NA,3.65,0.562292864,29.3,2.86,0.456366033
131,Greymare,m,1,6179549,6.790956851,Infected,1,1,10/13/2011,23,NA,2.82,0.450249108,28.1,3.28,0.515873844
153,Greymare,m,1,7891814,6.897176896,Infected,1,1,10/16/2011,26,NA,2.8,0.447158031,30.1,2.53,0.403120521
6,Kiandra,m,0,0,0,Uninfected,0,1,12/15/2011,86,NA,3.34,0.523746467,33.3,3.39,0.530199698
37,Kiandra,f,0,0,0,Uninfected,0,1,12/15/2011,86,NA,4.24,0.627365857,34.8,4.3,0.633468456
44,Kiandra,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,3.54,0.549003262,30.4,3.13,0.495544338
56,Kiandra,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,3.32,0.521138084,31.2,2.94,0.46834733
57,Kiandra,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,1.92,0.283301229,24,1.72,0.235528447
107,Kiandra,m,0,0,0,Uninfected,0,1,12/17/2011,88,NA,3.98,0.599883072,29.1,3.31,0.519827994
144,Kiandra,m,0,0,0,Uninfected,0,1,12/17/2011,88,NA,3.21,0.506505032,30.5,2.83,0.451786436
191,Kiandra,m,0,0,0,Uninfected,0,1,12/17/2011,88,NA,3.02,0.480006943,39.5,2.6,0.414973348
204,Kiandra,f,0,0,0,Uninfected,0,1,12/17/2011,88,NA,4.27,0.630427875,34.2,4.18,0.621176282
213,Kiandra,m,0,0,0,Uninfected,0,1,12/17/2011,88,NA,5,0.698970004,30.7,3.88,0.588831726
343,Kiandra,f,0,0,0,Uninfected,0,1,12/18/2011,89,NA,5.19,0.715167358,32.2,4.59,0.661812686
194,Kiandra,m,1,307,2.488550717,Infected,1,1,10/30/2011,40,NA,2.12,0.326335861,26,2.03,0.307496038
186,Kiandra,m,1,353,2.549003262,Infected,1,1,10/21/2011,31,NA,2.93,0.46686762,31.3,2.83,0.451786436
190,Kiandra,f,1,393,2.595496222,Infected,1,1,10/21/2011,31,NA,3.74,0.572871602,32,4.06,0.608526034
260,Kiandra,m,1,548,2.739572344,Infected,1,1,10/20/2011,30,NA,2.75,0.439332694,29.8,3.26,0.5132176
135,Kiandra,m,1,1982,3.297322714,Infected,1,1,10/20/2011,30,NA,4.3,0.633468456,33.2,3.84,0.584331224
392,Kiandra,m,1,22037,4.343172179,Infected,1,1,10/13/2011,23,NA,1.65,0.217483944,25.9,2.19,0.340444115
118,Kiandra,f,1,36534,4.562709112,Infected,1,1,11/4/2011,45,NA,3.54,0.549003262,34.3,4.18,0.621176282
348,Kiandra,m,1,45629,4.659250469,Infected,1,1,10/22/2011,32,NA,3.11,0.492760389,28.7,2.83,0.451786436
247,Kiandra,f,1,51584,4.712523435,Infected,1,1,10/22/2011,32,NA,3.31,0.519827994,28.4,2.91,0.463892989
385,Kiandra,m,1,51733,4.713776059,Infected,1,1,10/13/2011,23,NA,4.27,0.630427875,31.3,4.79,0.680335513
266,Kiandra,f,1,71055,4.851600756,Infected,1,1,10/31/2011,41,NA,3.56,0.551449998,31.1,3.46,0.539076099
355,Kiandra,m,1,71440,4.853947525,Infected,1,1,10/23/2011,33,NA,2.49,0.396199347,30.1,3.06,0.485721426
67,Kiandra,f,1,76648,4.884506493,Infected,1,1,10/18/2011,28,NA,5.69,0.755112266,36.1,5.53,0.742725131
29,Kiandra,m,1,88890,4.948857792,Infected,1,1,10/25/2011,35,NA,1.05,0.021189299,24.2,1.33,0.123851641
302,Kiandra,m,1,92972,4.968356845,Infected,1,1,10/26/2011,36,NA,3.7,0.568201724,31.6,3.94,0.595496222
212,Kiandra,f,1,119857,5.078667027,Infected,1,1,11/5/2011,46,NA,6.7,0.826074803,37.2,8.27,0.91750551
187,Kiandra,m,1,127486,5.105465902,Infected,1,1,10/29/2011,39,NA,2.66,0.424881637,29.3,3.19,0.503790683
338,Kiandra,m,1,132944,5.123672008,Infected,1,1,10/20/2011,30,NA,2.34,0.369215857,27.7,2.63,0.419955748
354,Kiandra,f,1,147473,5.16871546,Infected,1,1,11/7/2011,48,NA,4.28,0.631443769,35.1,4.73,0.674861141
380,Kiandra,m,1,183095,5.262678857,Infected,1,1,10/26/2011,36,NA,2.75,0.439332694,29.9,3.03,0.481442629
297,Kiandra,f,1,184012,5.264848506,Infected,1,1,10/28/2011,38,NA,2.78,0.444044796,27.8,2.63,0.419955748
300,Kiandra,f,1,187494,5.272989691,Infected,1,1,10/28/2011,38,NA,2.18,0.338456494,28.4,2.47,0.392696953
58,Kiandra,f,1,188894,5.276220462,Infected,1,1,11/2/2011,43,NA,2.61,0.416640507,29.9,3.53,0.547774705
12,Kiandra,m,1,224788,5.351775055,Infected,1,1,10/30/2011,40,NA,2.04,0.309630167,29,2.79,0.445604203
362,Kiandra,m,1,298241,5.474568803,Infected,1,1,10/25/2011,35,NA,1.46,0.164352856,23.4,1.7,0.230448921
199,Kiandra,m,1,322260,5.50820775,Infected,1,1,10/19/2011,29,NA,2.11,0.324282455,26.5,2.16,0.334453751
217,Kiandra,f,1,369134,5.567185225,Infected,1,1,10/20/2011,30,34.7,6.19,0.791690649,38.1,8.08,0.907411361
294,Kiandra,m,1,389649,5.590674681,Infected,1,1,10/23/2011,33,NA,2.82,0.450249108,37.5,2.63,0.419955748
104,Kiandra,f,1,391841,5.593110984,Infected,1,1,10/21/2011,31,NA,2.69,0.42975228,30,2.71,0.432969291
341,Kiandra,f,1,447596,5.650887167,Infected,1,1,10/20/2011,30,NA,4.11,0.613841822,30.7,4.07,0.609594409
105,Kiandra,m,1,514114,5.711060275,Infected,1,1,10/28/2011,38,NA,3.31,0.519827994,30.5,3.36,0.526339277
378,Kiandra,f,1,546233,5.737378729,Infected,1,1,10/23/2011,33,NA,4.1,0.612783857,32.4,5.07,0.705007959
215,Kiandra,f,1,577810,5.761785805,Infected,1,1,10/25/2011,35,NA,2.46,0.390935107,28.7,2.37,0.374748346
330,Kiandra,m,1,663235,5.821668091,Infected,1,1,10/22/2011,32,NA,3.74,0.572871602,30.9,3.81,0.580924976
178,Kiandra,m,1,681937,5.833744892,Infected,1,1,11/18/2011,59,NA,2.53,0.403120521,28.8,3.3,0.51851394
383,Kiandra,m,1,712933,5.853049327,Infected,1,1,11/22/2011,63,NA,2.32,0.365487985,28.4,2.76,0.440909082
27,Kiandra,f,1,731535,5.864235703,Infected,1,1,10/28/2011,38,NA,3.59,0.555094449,35.2,4.2,0.62324929
370,Kiandra,f,1,733933,5.865657007,Infected,1,1,10/31/2011,41,NA,2.8,0.447158031,31.5,2.91,0.463892989
30,Kiandra,f,1,787576,5.896293025,Infected,1,1,10/29/2011,39,NA,5.56,0.745074792,38.2,7.58,0.879669206
