FrogID,Site,Clutch,Sex,BdExposed,ShamExposed,Mass1,SVL1,2WPEwells06/10,2WPEzseDil06/10,2WPEzseCap06/10,2WPEzseUncap06/10,3WPEwells13/10,3WPEzseDil13/10,3WPEzseCap13/10,3WPEzseUncap13/10,4WPEwells20/10,4WPEzseDil20/10,4WPEzseCap20/10,4WPEzseUncap20/10,5WPEwells27/10,5WPEzseDil27/10,5WPEzseCap27/10,5WPEzseUncap27/10,6WPEwells03/11,6WPEzseDil03/11,6WPEzseCap03/11,6WPEzseUncap03/11,7WPEwells10/11,7WPEzseDil10/11,7WPEzseCap10/11,7WPEzseUncap10/11,8WPEwells17/11,8WPEzseDil17/11,8WPEzseCap17/11,8WPEzseUncap17/11,9WPEwells24/11,9WPEzseDil24/11,9WPEzseCap24/11,9WPEzseUncap24/11,10WPEwells01/12,10WPEzseDil01/12,10WPEzseCap01/12,10WPEzseUncap01/12,11WPEwells08/12,11WPEzseDil08/12,11WPEzseCap08/12,11WPEzseUncap08/12,DeathDate,Deathzsewells,DeathzseDil,DeathzseCap,DeathzseUncap,Mass2,DaysSurv,,,
Lva069,Eucumbene,Eucumbene C,male,1,0,2.25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/10/2011,3,31.46,5243,5243,2.19,33,,,
Lva070,Ogilvies,Ogilvies A,female,1,0,3.87,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/2011,3,3983.65,>16667,663955,3.65,22,,,
Lva071,Eucumbene,Eucumbene A,male,0,1,2.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,2.56,Survivor,,,
Lva072,Ogilvies,Ogilvies C,female,1,0,4.49,34.6,3,23.82,3970,3971,3,367.47,>16667,61257.249,3,2956.24,>16667,492805.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/10/2011,3,1906.09,>16667,317688,4.22,37,,,
Lva073,Eucumbene,Eucumbene B,female,1,0,1.94,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/10/2011,3,1115.87,>16667,185982,1.72,34,,,
Lva074,Kiandra,Kiandra D,female,1,0,6.17,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/10/2011,3,19710.06,>16667,3285076,4.93,26,,,
Lva075,Eucumbene,Eucumbene C,female,0,1,3.96,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,4.73,Survivor,,,
Lva077,Ogilvies,Ogilvies B,female,0,1,3.59,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,5.46,Survivor,,,
Lva078,Eucumbene,Eucumbene C,female,1,0,3.95,29.5,3,0.04,7,7,3,9.78,1630,1630,3,743.66,>16667,123968.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/10/2011,3,1348.08,>16667,224684,2.87,34,,,
Lva079,Eucumbene,Eucumbene A,female,1,0,6.51,36.6,3,182.77,>16667,30468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/10/2011,3,664.27,>16667,110714,5.67,19,,,
